Education,customer_id,AGE,marital,JOB
tertiary,101005,33,married,management
tertiary,101006,35,married,management
tertiary,101024,30,single,services
secondary,101025,32,married,blue-collar
secondary,101029,52,married,blue-collar
secondary,101040,26,married,services
secondary,101058,57,married,retired
secondary,101059,38,married,services
primary,101060,39,married,blue-collar
secondary,101070,30,single,services
secondary,101072,33,married,technician
secondary,101074,58,married,retired
secondary,101075,31,married,unemployed
secondary,101076,38,single,admin.
secondary,101077,60,married,retired
primary,101080,52,married,admin.
secondary,101123,31,divorced,admin.
tertiary,101128,58,married,management
secondary,101135,41,single,blue-collar
tertiary,101147,23,single,management
primary,101149,51,married,management
secondary,101153,27,single,student
secondary,101158,47,married,blue-collar
tertiary,101180,43,married,technician
secondary,101188,30,married,blue-collar
primary,101190,37,married,blue-collar
tertiary,101191,39,married,blue-collar
tertiary,101192,33,single,management
primary,101199,47,married,blue-collar
primary,101208,43,married,blue-collar
tertiary,101225,29,married,management
secondary,101227,46,married,technician
tertiary,101241,46,single,blue-collar
secondary,101265,30,married,services
tertiary,101266,32,single,management
SECONDARY,101267,29,single,technician
tertiary,101273,31,single,technician
primary,101274,39,married,blue-collar
primary,101284,38,married,blue-collar
tertiary,101287,41,married,management
primary,101288,57,married,retired
tertiary,101294,35,divorced,management
SECONDARY,101300,43,married,blue-collar
primary,101301,32,single,blue-collar
secondary,101305,28,married,blue-collar
tertiary,101309,34,married,management
tertiary,101314,31,single,management
secondary,101318,32,single,blue-collar
secondary,101330,36,married,technician
tertiary,101335,31,married,self-employed
secondary,101339,24,married,services
secondary,101342,29,married,blue-collar
primary,101346,26,single,blue-collar
secondary,101348,49,married,services
primary,101351,50,married,blue-collar
tertiary,101358,35,married,self-employed
primary,101359,49,married,admin.
secondary,101374,41,married,admin.
secondary,101384,38,married,blue-collar
secondary,101388,32,married,services
secondary,101392,33,single,admin.
secondary,101395,36,single,technician
secondary,101407,54,married,services
secondary,101416,44,single,admin.
secondary,101417,44,single,blue-collar
SECONDARY,101419,36,married,blue-collar
secondary,101420,37,married,blue-collar
primary,101423,55,married,entrepreneur
secondary,101427,30,married,technician
tertiary,101431,31,single,technician
tertiary,101437,43,married,technician
secondary,101441,49,divorced,admin.
secondary,101446,42,married,admin.
secondary,101447,28,married,services
secondary,101466,36,single,services
secondary,101471,28,divorced,admin.
tertiary,101473,43,single,management
tertiary,101483,28,single,management
primary,101494,28,married,blue-collar
secondary,101497,39,single,services
unknown,101515,44,married,technician
tertiary,101517,43,divorced,management
secondary,101537,30,single,blue-collar
primary,101545,32,married,blue-collar
secondary,101546,58,DIVORCED,self-employed
primary,101554,43,married,blue-collar
secondary,101561,34,married,management
primary,101563,43,married,blue-collar
tertiary,101584,34,married,management
secondary,101608,44,single,technician
tertiary,101611,38,single,management
secondary,101614,37,married,services
secondary,101618,27,married,blue-collar
secondary,101621,37,single,unemployed
secondary,101627,33,married,admin.
tertiary,101634,50,single,technician
primary,101636,48,married,blue-collar
secondary,101637,36,married,technician
primary,101643,50,married,blue-collar
primary,101682,34,married,blue-collar
secondary,101685,33,married,ADMINISTRATION
secondary,101686,52,divorced,management
secondary,101688,54,married,unemployed
tertiary,101690,35,married,management
secondary,101692,53,divorced,blue-collar
primary,101705,41,married,blue-collar
primary,101712,49,married,blue-collar
primary,101715,34,married,blue-collar
secondary,101724,42,divorced,management
primary,101733,49,married,blue-collar
secondary,101742,44,married,blue-collar
primary,101745,33,divorced,blue-collar
secondary,101747,35,single,blue-collar
tertiary,101748,31,single,technician
secondary,101749,36,single,technician
secondary,101758,26,single,blue-collar
secondary,101764,31,married,housemaid
SECONDARY,101772,46,married,technician
secondary,101775,43,single,blue-collar
tertiary,101777,46,divorced,technician
secondary,101784,40,divorced,housemaid
secondary,101789,31,married,admin.
secondary,101790,35,married,blue-collar
secondary,101792,28,single,blue-collar
tertiary,101801,51,single,management
secondary,101806,59,married,blue-collar
tertiary,101808,49,married,self-employed
tertiary,101814,31,single,unemployed
secondary,101815,54,married,retired
secondary,101823,54,married,admin.
secondary,101842,29,divorced,admin.
tertiary,101845,27,single,management
secondary,101846,22,single,admin.
secondary,101848,39,single,blue-collar
secondary,101862,31,married,technician
secondary,101868,32,married,blue-collar
secondary,101874,32,single,unemployed
primary,101876,56,married,admin.
tertiary,101877,34,single,management
primary,101881,35,married,blue-collar
secondary,101884,48,married,blue-collar
secondary,101886,36,married,blue-collar
SECONDARY,101890,31,married,admin.
primary,101895,42,married,blue-collar
primary,101896,60,married,technician
secondary,101907,26,single,blue-collar
primary,101911,55,married,blue-collar
secondary,101916,33,single,blue-collar
secondary,101933,40,married,blue-collar
secondary,101936,40,single,technician
secondary,101943,31,married,blue-collar
tertiary,101948,29,single,technician
secondary,101951,28,single,blue-collar
secondary,101955,37,married,technician
secondary,101957,53,married,blue-collar
secondary,101960,36,married,blue-collar
primary,101964,33,divorced,blue-collar
secondary,101985,32,single,blue-collar
secondary,101987,48,married,unemployed
secondary,101996,35,single,technician
tertiary,102001,35,single,management
secondary,102006,57,married,management
tertiary,102007,38,single,entrepreneur
secondary,102010,44,married,admin.
secondary,102024,29,single,admin.
secondary,102039,56,married,management
tertiary,102044,35,divorced,admin.
secondary,102045,31,single,services
secondary,102046,29,single,admin.
secondary,102056,29,single,blue-collar
primary,102062,37,married,blue-collar
secondary,102064,39,single,services
secondary,102068,29,married,blue-collar
tertiary,102082,45,single,management
secondary,102083,34,single,blue-collar
primary,102084,32,married,blue-collar
secondary,102095,27,single,technician
secondary,102099,35,married,self-employed
primary,102101,52,married,management
primary,102112,53,married,blue-collar
secondary,102116,31,married,blue-collar
secondary,102132,41,single,admin.
secondary,102134,32,single,services
primary,102138,42,married,blue-collar
secondary,102139,34,divorced,blue-collar
SECONDARY,102140,34,married,technician
secondary,102144,50,married,technician
primary,102154,45,married,blue-collar
tertiary,102158,25,married,management
tertiary,102161,25,married,student
secondary,102165,44,divorced,services
primary,102171,42,married,blue-collar
secondary,102175,49,married,technician
primary,102176,59,divorced,retired
unknown,102178,60,married,blue-collar
tertiary,102182,43,single,technician
primary,102183,51,married,blue-collar
secondary,102190,57,married,unemployed
tertiary,102197,32,single,management
secondary,102200,28,single,blue-collar
secondary,102201,33,divorced,blue-collar
SECONDARY,102203,25,married,services
primary,102216,52,single,blue-collar
primary,102217,40,divorced,blue-collar
secondary,102224,43,single,self-employed
secondary,102229,35,married,blue-collar
secondary,102231,41,married,self-employed
secondary,102237,27,married,technician
secondary,102276,29,single,services
primary,102292,56,married,retired
secondary,102299,29,married,unemployed
secondary,102303,25,single,technician
SECONDARY,102312,29,divorced,services
secondary,102313,56,married,admin.
secondary,102314,28,single,services
secondary,102315,44,married,blue-collar
secondary,102321,37,married,blue-collar
tertiary,102336,24,single,student
tertiary,102337,45,single,management
tertiary,102341,35,divorced,management
secondary,102342,32,DIVORCED,admin.
tertiary,102351,57,single,management
secondary,102364,33,single,entrepreneur
secondary,102378,39,married,blue-collar
primary,102383,40,married,blue-collar
secondary,102385,34,single,admin.
secondary,102388,32,divorced,technician
secondary,102413,37,single,blue-collar
primary,102417,48,married,blue-collar
secondary,102418,22,single,housemaid
secondary,102424,28,married,technician
secondary,102427,26,divorced,ADMINISTRATION
primary,102429,35,married,blue-collar
tertiary,102430,44,single,technician
secondary,102436,27,single,admin.
primary,102438,25,single,blue-collar
secondary,102440,22,single,services
secondary,102444,26,single,technician
secondary,102448,33,divorced,management
tertiary,102454,31,married,management
secondary,102464,21,single,student
secondary,102466,32,married,unemployed
primary,102475,46,divorced,services
tertiary,102478,38,married,management
secondary,102484,26,single,blue-collar
secondary,102488,24,single,services
tertiary,102489,54,divorced,retired
primary,102499,33,married,blue-collar
secondary,102505,34,divorced,blue-collar
primary,102507,57,married,management
secondary,102509,20,single,services
secondary,102511,41,married,admin.
secondary,102525,29,single,blue-collar
secondary,102530,25,single,services
secondary,102544,58,married,technician
primary,102550,49,married,retired
secondary,102559,50,married,blue-collar
secondary,102562,44,divorced,technician
secondary,102572,59,married,retired
secondary,102573,30,married,blue-collar
primary,102575,23,single,entrepreneur
primary,102576,44,married,blue-collar
primary,102584,60,married,blue-collar
tertiary,102586,48,married,management
tertiary,102587,45,divorced,entrepreneur
tertiary,102598,146,married,management
unknown,102600,43,married,blue-collar
tertiary,102605,59,married,retired
secondary,102608,36,married,blue-collar
secondary,102615,29,single,technician
secondary,102619,56,married,retired
unknown,102620,52,married,management
tertiary,102626,40,married,management
secondary,102635,27,married,blue-collar
tertiary,102636,53,married,retired
unknown,102638,44,single,admin.
secondary,102643,35,married,services
secondary,102646,37,divorced,entrepreneur
secondary,102652,53,married,management
secondary,102655,28,single,technician
secondary,102658,46,single,admin.
tertiary,102662,51,married,management
primary,102674,46,married,blue-collar
secondary,102679,55,married,technician
tertiary,102680,44,married,management
unknown,102689,57,divorced,management
secondary,102690,31,single,blue-collar
secondary,102691,54,married,services
SECONDARY,102694,44,married,admin.
tertiary,102698,44,single,technician
unknown,102713,38,single,admin.
tertiary,102715,48,married,management
secondary,102729,46,single,technician
secondary,102744,35,divorced,technician
primary,102751,46,married,blue-collar
primary,102752,58,married,blue-collar
secondary,102754,55,married,management
secondary,102761,31,single,technician
tertiary,102767,31,married,technician
primary,102772,53,divorced,blue-collar
secondary,102773,44,married,self-employed
secondary,102782,29,single,admin.
primary,102798,44,married,blue-collar
primary,102804,35,single,blue-collar
primary,102810,35,divorced,blue-collar
secondary,102821,43,married,technician
tertiary,102826,27,single,unemployed
secondary,102829,28,single,technician
secondary,102833,46,single,blue-collar
tertiary,102850,38,divorced,management
primary,102851,46,married,retired
secondary,102864,27,single,blue-collar
SECONDARY,102866,31,married,blue-collar
secondary,102868,52,married,housemaid
secondary,102871,41,married,technician
tertiary,102879,45,married,management
primary,102880,53,divorced,technician
primary,102893,47,married,blue-collar
primary,102900,48,divorced,blue-collar
secondary,102902,40,married,technician
secondary,102906,50,divorced,blue-collar
tertiary,102913,45,married,management
primary,102915,53,married,blue-collar
primary,102922,41,single,blue-collar
tertiary,102932,39,divorced,management
SECONDARY,102946,59,married,retired
tertiary,102955,31,married,management
secondary,102966,41,married,blue-collar
secondary,102969,46,married,admin.
primary,102970,45,married,entrepreneur
secondary,102971,48,married,blue-collar
primary,102975,41,married,blue-collar
secondary,102977,48,married,technician
secondary,102982,48,married,technician
secondary,102983,40,married,admin.
primary,102984,47,married,blue-collar
tertiary,102990,25,single,technician
secondary,102994,41,married,blue-collar
secondary,102998,48,married,blue-collar
tertiary,103000,55,married,management
primary,103009,42,married,self-employed
primary,103021,34,married,blue-collar
secondary,103022,40,married,technician
secondary,103028,43,divorced,blue-collar
primary,103029,45,married,blue-collar
primary,103030,60,married,retired
secondary,103036,56,married,blue-collar
secondary,103041,41,married,services
unknown,103056,40,single,technician
primary,103059,52,single,blue-collar
secondary,103073,45,married,blue-collar
secondary,103079,56,divorced,blue-collar
tertiary,103081,47,married,self-employed
secondary,103082,33,single,admin.
tertiary,103083,57,married,technician
primary,103086,49,married,entrepreneur
secondary,103093,61,married,retired
secondary,103104,54,married,blue-collar
secondary,103105,51,married,blue-collar
SECONDARY,103124,60,married,blue-collar
secondary,103128,36,married,admin.
secondary,103133,37,married,admin.
secondary,103145,51,married,unemployed
tertiary,103156,44,married,management
tertiary,103177,47,divorced,management
secondary,103187,42,married,technician
primary,103193,55,married,blue-collar
secondary,103229,36,married,admin.
SECONDARY,103230,59,married,retired
primary,103237,42,married,blue-collar
secondary,103241,29,married,blue-collar
unknown,103242,36,married,blue-collar
tertiary,103244,34,married,management
SECONDARY,103245,35,married,technician
secondary,103246,41,divorced,blue-collar
secondary,103253,46,single,blue-collar
secondary,103262,43,married,services
tertiary,103267,55,married,management
secondary,103268,41,married,entrepreneur
secondary,103271,30,single,admin.
secondary,103279,34,single,services
tertiary,103281,32,single,management
secondary,103291,41,married,blue-collar
primary,103292,50,married,blue-collar
secondary,103294,46,married,admin.
tertiary,103308,53,married,entrepreneur
secondary,103309,51,married,retired
primary,103315,52,divorced,blue-collar
secondary,103322,56,married,retired
primary,103324,45,married,blue-collar
unknown,103326,43,single,self-employed
secondary,103329,40,married,services
secondary,103335,46,single,management
primary,103357,44,married,entrepreneur
primary,103361,45,married,blue-collar
secondary,103364,58,married,technician
secondary,103373,47,divorced,admin.
primary,103379,40,married,blue-collar
secondary,103385,47,married,services
secondary,103386,40,married,blue-collar
primary,103395,59,married,blue-collar
unknown,103401,44,married,blue-collar
tertiary,103410,44,married,management
secondary,103415,49,single,admin.
primary,103425,49,married,unknown
secondary,103426,53,single,admin.
primary,103432,50,married,entrepreneur
secondary,103441,60,divorced,admin.
secondary,103443,60,married,retired
secondary,103450,29,single,blue-collar
secondary,103460,47,married,services
secondary,103469,28,single,student
primary,103472,40,married,services
primary,103479,41,married,ADMINISTRATION
unknown,103485,57,married,admin.
tertiary,103490,40,single,management
tertiary,103495,46,married,management
primary,103499,55,divorced,services
primary,103502,54,divorced,services
primary,103509,30,married,blue-collar
tertiary,103518,41,married,management
secondary,103526,57,married,services
unknown,103544,58,married,technician
tertiary,103555,44,married,technician
secondary,103562,56,married,unemployed
secondary,103568,32,single,admin.
secondary,103578,32,married,services
tertiary,103587,47,divorced,management
tertiary,103590,33,divorced,management
primary,103598,60,single,services
tertiary,103601,29,married,management
primary,103610,41,divorced,retired
SECONDARY,103612,59,single,management
primary,103620,41,married,blue-collar
secondary,103622,49,single,services
secondary,103626,43,single,blue-collar
primary,103627,26,married,blue-collar
primary,103636,51,married,blue-collar
primary,103646,50,married,housemaid
secondary,103649,42,single,technician
secondary,103658,46,married,blue-collar
primary,103669,52,married,blue-collar
secondary,103672,32,single,services
tertiary,103681,54,single,management
secondary,103716,61,married,retired
secondary,103725,31,single,blue-collar
secondary,103732,45,married,technician
tertiary,103736,58,married,management
secondary,103744,51,married,blue-collar
tertiary,103747,58,divorced,management
secondary,103768,36,married,blue-collar
secondary,103774,31,single,housemaid
primary,103777,40,married,services
unknown,103778,36,single,services
secondary,103779,40,married,admin.
primary,103781,39,married,blue-collar
tertiary,103782,,married,technician
secondary,103801,31,single,blue-collar
tertiary,103802,33,married,management
secondary,103803,42,divorced,admin.
tertiary,103809,31,single,self-employed
secondary,103813,40,married,services
secondary,103815,26,married,blue-collar
secondary,103818,25,married,admin.
tertiary,103823,56,divorced,management
primary,103831,45,married,blue-collar
secondary,103833,40,married,technician
primary,103835,26,single,blue-collar
secondary,103850,31,married,blue-collar
SECONDARY,103855,35,married,services
secondary,103859,57,divorced,retired
primary,103867,59,married,retired
secondary,103870,33,married,blue-collar
secondary,103871,29,single,admin.
primary,103872,39,married,blue-collar
secondary,103883,43,married,management
tertiary,103884,36,single,technician
secondary,103895,25,married,blue-collar
unknown,103896,30,single,blue-collar
secondary,103905,27,single,technician
tertiary,103907,32,single,self-employed
primary,103911,37,single,blue-collar
secondary,103913,23,single,admin.
secondary,103919,29,single,blue-collar
secondary,103920,37,divorced,services
primary,103922,38,married,unemployed
SECONDARY,103928,43,married,management
primary,103930,40,married,blue-collar
secondary,103931,33,single,blue-collar
secondary,103936,24,single,technician
primary,103941,24,married,blue-collar
secondary,103953,35,married,blue-collar
primary,103965,53,married,blue-collar
secondary,103966,44,married,services
secondary,103973,30,single,blue-collar
SECONDARY,103977,50,divorced,admin.
tertiary,103982,27,single,technician
tertiary,103990,32,single,entrepreneur
secondary,104000,46,married,technician
unknown,104013,55,married,services
tertiary,104021,50,single,management
primary,104034,41,married,blue-collar
secondary,104035,49,divorced,unemployed
unknown,104039,48,married,services
secondary,104048,33,single,blue-collar
primary,104070,45,married,blue-collar
primary,104071,49,married,management
secondary,104075,45,married,self-employed
tertiary,104083,54,single,management
primary,104087,52,married,blue-collar
primary,104093,56,married,blue-collar
primary,104097,41,single,blue-collar
secondary,104100,30,single,technician
secondary,104103,40,married,blue-collar
secondary,104104,55,married,technician
SECONDARY,104113,36,married,services
secondary,104115,53,divorced,technician
primary,104124,38,single,blue-collar
tertiary,104126,42,single,management
secondary,104129,35,single,admin.
primary,104136,34,married,blue-collar
tertiary,104141,25,single,management
secondary,104143,37,single,management
secondary,104153,26,single,admin.
secondary,104175,44,married,services
tertiary,104178,42,divorced,management
secondary,104181,31,married,blue-collar
secondary,104184,50,divorced,blue-collar
secondary,104185,44,married,entrepreneur
secondary,104189,43,married,services
secondary,104191,41,single,admin.
primary,104199,38,married,blue-collar
secondary,104200,52,married,technician
secondary,104201,49,married,technician
tertiary,104209,26,single,technician
SECONDARY,104217,27,married,technician
secondary,104219,41,divorced,services
secondary,104237,47,married,blue-collar
primary,104251,42,married,housemaid
tertiary,104255,40,married,technician
primary,104258,20,married,blue-collar
primary,104261,49,married,blue-collar
secondary,104275,31,single,admin.
secondary,104278,24,single,technician
tertiary,104284,31,single,technician
secondary,104286,31,married,admin.
secondary,104301,31,married,blue-collar
unknown,104306,30,single,blue-collar
secondary,104312,44,married,retired
secondary,104320,42,married,unemployed
tertiary,104323,51,single,management
primary,104341,34,married,blue-collar
secondary,104342,41,married,self-employed
tertiary,104351,44,divorced,management
unknown,104361,60,married,technician
tertiary,104366,29,single,management
secondary,104372,43,divorced,services
tertiary,104375,42,divorced,management
tertiary,104414,37,divorced,management
secondary,104419,36,divorced,technician
secondary,104426,30,married,blue-collar
tertiary,104427,30,single,technician
secondary,104429,34,divorced,blue-collar
secondary,104430,41,married,technician
tertiary,104459,32,divorced,management
secondary,104460,37,single,technician
unknown,104466,50,married,technician
secondary,104470,44,married,blue-collar
secondary,104472,57,married,technician
tertiary,104478,30,single,technician
primary,104479,41,married,management
secondary,104484,28,single,student
secondary,104485,31,single,management
tertiary,104488,38,single,management
secondary,104492,33,single,admin.
tertiary,104493,37,married,management
secondary,104503,36,married,blue-collar
secondary,104509,35,married,entrepreneur
secondary,104512,39,married,unemployed
primary,104514,32,divorced,management
secondary,104517,35,divorced,blue-collar
secondary,104518,31,married,blue-collar
SECONDARY,104525,40,married,technician
secondary,104528,29,single,services
primary,104532,35,married,blue-collar
secondary,104554,39,married,services
secondary,104556,31,married,blue-collar
tertiary,104561,39,married,self-employed
secondary,104562,36,married,technician
primary,104567,39,married,housemaid
secondary,104574,36,married,technician
tertiary,104587,27,single,technician
primary,104589,58,married,housemaid
secondary,104590,34,divorced,technician
secondary,104598,39,married,blue-collar
secondary,104610,35,married,services
primary,104619,40,married,blue-collar
secondary,104621,41,single,services
secondary,104628,39,married,blue-collar
secondary,104629,35,married,admin.
primary,104632,39,married,blue-collar
secondary,104639,36,married,admin.
tertiary,104642,43,married,management
tertiary,104647,37,single,technician
tertiary,104649,40,married,admin.
secondary,104655,34,single,admin.
primary,104658,59,married,blue-collar
tertiary,104660,34,single,admin.
secondary,104672,29,single,services
secondary,104673,39,single,blue-collar
tertiary,104677,32,single,management
secondary,104685,33,married,services
secondary,104692,39,married,admin.
primary,104693,38,married,blue-collar
secondary,104697,31,single,blue-collar
primary,104706,33,married,blue-collar
tertiary,104707,37,married,entrepreneur
secondary,104708,34,single,technician
secondary,104712,36,single,management
secondary,104717,37,divorced,blue-collar
secondary,104723,34,married,services
secondary,104735,31,single,admin.
secondary,104741,44,divorced,technician
secondary,104753,34,married,services
secondary,104754,36,single,services
secondary,104767,55,married,self-employed
tertiary,104773,30,single,management
primary,104776,36,married,blue-collar
secondary,104783,39,single,technician
secondary,104794,48,married,blue-collar
secondary,104798,31,divorced,admin.
primary,104801,31,married,blue-collar
primary,104805,58,married,blue-collar
secondary,104812,52,married,services
unknown,104820,35,married,blue-collar
secondary,104826,38,married,blue-collar
primary,104835,38,married,blue-collar
secondary,104836,31,married,blue-collar
secondary,104844,58,married,entrepreneur
primary,104847,50,married,blue-collar
secondary,104848,30,single,blue-collar
unknown,104849,34,married,blue-collar
tertiary,104853,31,single,services
primary,104854,41,married,blue-collar
primary,104858,60,married,blue-collar
unknown,104862,39,married,blue-collar
secondary,104863,57,divorced,services
SECONDARY,104866,31,married,blue-collar
primary,104872,,married,blue-collar
secondary,104875,32,married,technician
tertiary,104879,54,divorced,retired
secondary,104888,34,divorced,blue-collar
tertiary,104889,34,married,management
primary,104893,40,single,management
secondary,104894,35,married,blue-collar
secondary,104899,58,married,technician
secondary,104901,34,single,blue-collar
primary,104914,31,single,blue-collar
secondary,104919,34,married,blue-collar
tertiary,104922,33,married,management
secondary,104927,39,married,technician
primary,104928,40,married,blue-collar
secondary,104930,33,single,blue-collar
secondary,104936,32,married,technician
unknown,104944,37,married,admin.
secondary,104945,31,single,technician
secondary,104947,31,married,services
tertiary,104951,35,single,management
secondary,104957,33,married,management
secondary,104958,34,married,blue-collar
tertiary,104967,36,married,management
primary,104982,30,married,blue-collar
secondary,104993,35,married,blue-collar
secondary,104998,30,single,blue-collar
tertiary,105007,31,married,technician
secondary,105017,37,single,technician
secondary,105023,31,married,blue-collar
secondary,105029,37,married,services
tertiary,105042,54,divorced,management
secondary,105048,31,married,admin.
primary,105049,36,married,blue-collar
secondary,105051,29,married,admin.
tertiary,105054,31,single,technician
secondary,105055,37,single,blue-collar
secondary,105060,31,married,technician
unknown,105077,36,married,management
tertiary,105104,31,single,management
secondary,105109,27,single,blue-collar
secondary,105125,27,married,technician
primary,105133,32,married,blue-collar
primary,105135,34,married,retired
secondary,105136,34,married,services
primary,105151,33,married,blue-collar
secondary,105153,32,single,services
tertiary,105156,30,single,technician
tertiary,105158,32,single,technician
primary,105159,37,married,blue-collar
secondary,105176,34,married,blue-collar
secondary,105180,58,married,retired
secondary,105181,39,married,blue-collar
primary,105185,35,married,blue-collar
tertiary,105187,33,single,management
secondary,105206,31,married,blue-collar
tertiary,105209,39,married,management
secondary,105237,31,married,technician
secondary,105245,37,single,technician
secondary,105260,36,divorced,blue-collar
secondary,105263,38,married,blue-collar
primary,105271,34,married,blue-collar
secondary,105275,32,married,blue-collar
secondary,105282,30,single,blue-collar
secondary,105290,35,married,services
tertiary,105291,40,single,management
secondary,105294,39,single,unemployed
secondary,105295,33,married,blue-collar
secondary,105319,33,married,management
primary,105337,35,married,blue-collar
tertiary,105352,35,divorced,self-employed
tertiary,105353,29,married,self-employed
primary,105354,36,married,blue-collar
tertiary,105371,30,single,management
primary,105372,37,married,blue-collar
secondary,105377,30,single,blue-collar
secondary,105384,30,married,blue-collar
primary,105404,30,married,blue-collar
primary,105420,42,married,services
secondary,105422,25,single,student
tertiary,105432,32,single,technician
secondary,105435,41,married,retired
secondary,105443,34,married,blue-collar
secondary,105446,36,married,blue-collar
secondary,105448,36,married,blue-collar
tertiary,105459,41,single,management
primary,105470,36,married,blue-collar
tertiary,105471,26,single,student
secondary,105477,28,single,blue-collar
secondary,105526,37,divorced,services
secondary,105532,39,married,unemployed
tertiary,105537,31,single,unemployed
secondary,105546,30,married,services
primary,105571,45,divorced,blue-collar
secondary,105573,39,divorced,entrepreneur
secondary,105584,45,married,admin.
secondary,105596,32,single,blue-collar
secondary,105600,33,married,blue-collar
primary,105608,34,married,blue-collar
secondary,105614,34,married,admin.
secondary,105616,33,divorced,blue-collar
SECONDARY,105625,60,married,services
secondary,105629,39,married,technician
secondary,105634,35,married,management
primary,105635,53,married,blue-collar
tertiary,105638,42,single,admin.
tertiary,105643,44,divorced,management
primary,105647,40,married,blue-collar
primary,105666,44,single,blue-collar
secondary,105676,31,married,blue-collar
secondary,105679,32,married,blue-collar
secondary,105681,49,married,blue-collar
secondary,105686,37,married,services
secondary,105712,33,married,blue-collar
secondary,105737,31,married,blue-collar
tertiary,105741,34,married,student
secondary,105755,52,divorced,admin.
tertiary,105770,30,married,technician
primary,105775,49,married,blue-collar
