customer_id1,default,balance,housing,loan
111111,no,2801,yes,yes
122395,no,0,no,no
100752,no,221,yes,no
141717,no,2756,no,no
121672,no,240,no,no
101192,no,76,yes,no
130245,no,594,no,no
107809,no,3911,yes,yes
126679,no,7876,yes,no
136876,no,10,no,yes
110497,no,1052,no,no
112628,no,0,no,yes
102217,no,737,yes,yes
101419,no,0,no,no
144913,no,852,no,no
139642,no,2340,no,no
128951,no,44,no,yes
117144,no,3304,no,yes
101024,no,542,yes,no
110669,no,13292,no,no
106795,no,2364,yes,no
105830,no,-170,yes,yes
135147,no,638,yes,no
108370,no,-158,yes,no
125152,no,1655,yes,no
115167,no,3760,no,yes
104872,no,5,yes,no
123345,no,46,no,no
107704,no,828,yes,no
113550,no,2355,yes,no
126149,no,0,no,yes
134853,no,-488,yes,no
118392,no,404,no,no
116293,no,300,no,yes
114966,no,127,yes,no
142531,no,1761,no,no
112972,no,-241,yes,yes
137595,no,0,yes,no
104093,no,8318,yes,no
123914,no,300,no,no
104525,no,1259,no,no
122764,no,0,no,no
144993,no,0,no,no
123368,no,1697,no,yes
108269,no,0,no,no
114091,no,3527,no,yes
120101,no,77,no,no
128003,no,370,yes,no
129619,no,924,yes,no
127411,no,253,yes,no
111708,no,1331,yes,yes
103230,no,5678,yes,no
120761,no,1732,no,no
102203,no,-454,yes,no
101300,yes,-7,no,no
125490,no,1434,no,no
141531,no,1423,no,no
131832,no,5,no,no
110289,no,-83,yes,no
104217,no,374,yes,no
137358,no,4253,yes,no
127456,no,674,yes,no
145043,no,1592,no,no
133658,no,449,yes,no
127254,no,274,yes,yes
115990,no,307,no,no
115435,no,-185,yes,no
113952,no,563,yes,no
101881,no,198,yes,no
135384,no,-271,yes,no
101890,no,27,no,yes
101895,no,479,yes,no
109964,no,0,no,no
117685,no,2575,yes,yes
125315,no,0,yes,no
105608,no,157,yes,no
126446,no,658,no,no
145050,no,5007,yes,no
109848,no,2518,no,no
125695,no,1309,yes,no
102178,no,231,yes,no
109721,no,0,no,no
101494,no,113,yes,no
118513,no,55,yes,no
106075,no,5880,yes,no
124403,no,0,yes,no
128020,no,524,no,no
101267,no,247,yes,no
127870,no,8,no,no
119906,no,1064,yes,no
102140,no,222,yes,no
101690,yes,89,no,yes
112866,no,-796,no,no
127709,no,1257,no,no
131019,no,659,no,no
126503,no,0,no,no
133752,no,257,yes,yes
125729,no,1990,yes,no
135025,no,411,yes,no
123191,no,7,no,no
112534,yes,0,no,yes
132728,no,642,yes,no
103245,no,94,yes,yes
117338,no,293,yes,yes
132497,no,2084,yes,no
132921,no,-220,yes,no
126586,no,166,no,no
132060,no,1418,yes,yes
140392,no,520,yes,no
104306,no,0,yes,no
141907,no,1579,no,no
100561,no,-11,no,no
118586,no,2219,yes,no
138542,no,5431,yes,yes
108032,no,1609,yes,no
138941,no,433,yes,no
133278,no,349,yes,no
141635,no,383,no,no
128123,no,6,yes,no
101005,no,442,yes,no
133788,no,4248,yes,no
127214,no,9935,no,no
115898,no,-453,yes,no
125330,no,2257,yes,no
135589,no,2417,yes,no
127501,no,748,no,no
139467,no,2252,no,no
103636,no,4497,yes,no
121415,no,4112,no,no
122360,no,197,no,yes
118237,no,194,no,yes
129712,no,5082,no,no
101199,no,117,yes,no
108821,no,-92,yes,no
124743,no,0,no,no
114570,no,1580,yes,no
135638,no,1174,yes,no
107651,no,-442,yes,no
138203,no,637,yes,no
127005,no,1203,no,no
114641,no,1005,yes,no
139515,no,2981,yes,yes
138270,no,1535,yes,no
116339,no,0,yes,no
124089,no,0,no,no
120050,no,0,no,no
136480,no,0,yes,no
125912,no,1322,yes,yes
127203,no,1784,no,yes
125381,no,1430,yes,yes
129845,no,351,yes,no
125628,no,315,yes,no
127158,no,512,yes,yes
104342,no,713,yes,no
133757,no,725,yes,no
127393,no,677,yes,no
101784,no,108,no,no
118853,yes,-736,no,no
130623,no,3640,no,no
105546,no,-108,yes,no
104894,no,592,yes,no
124933,no,2165,yes,no
120855,no,170,yes,yes
109440,no,444,yes,no
107183,no,34,yes,yes
103681,no,1439,yes,no
136364,no,2366,yes,no
116511,yes,163,yes,yes
142931,no,1287,no,no
121780,no,11,no,no
119010,no,2410,no,no
101611,no,0,yes,no
109540,no,425,yes,no
135578,no,703,yes,no
128580,no,882,no,yes
119936,no,181,yes,no
104853,no,1025,no,no
132471,no,-197,yes,no
102006,no,0,yes,no
124627,no,200,no,no
118884,no,2796,no,no
136150,no,2548,yes,no
134035,no,1122,no,no
120285,no,2421,no,no
101815,no,785,yes,no
110898,no,391,no,no
124226,no,8,yes,no
100740,no,69,yes,yes
132797,no,8295,yes,no
123057,no,1326,no,no
113425,no,128,yes,no
140822,no,145,no,no
140772,no,74,no,no
104642,no,-8,yes,no
133917,no,0,yes,yes
125391,no,676,no,no
113905,no,2063,yes,yes
105634,no,839,yes,no
132626,no,1790,no,no
135480,no,0,yes,no
126810,no,2814,yes,no
139004,no,1434,yes,no
121467,no,3575,no,yes
100512,no,230,yes,no
103279,no,719,yes,no
114982,no,557,yes,no
117067,no,410,no,yes
125770,no,0,no,no
136304,no,3058,yes,no
102430,no,166,yes,no
103913,no,178,yes,no
125014,no,1375,yes,no
118341,no,846,yes,no
124544,no,441,yes,yes
117028,no,5698,no,no
120011,no,88,yes,yes
102200,yes,-871,yes,no
132619,no,264,yes,no
122961,no,230,yes,no
119318,no,1178,no,no
141977,no,3745,no,no
145007,no,414,no,no
125669,no,13044,no,no
122264,no,1032,yes,no
108641,no,76,yes,no
109507,no,613,no,no
112155,no,157,yes,no
101284,no,54,yes,no
122649,no,664,no,no
104512,no,0,yes,no
121687,no,5495,yes,no
132039,no,952,yes,no
108373,no,113,yes,no
105029,no,405,yes,no
131512,no,571,no,no
104754,no,774,yes,no
112981,no,338,no,yes
122128,no,526,yes,no
141119,no,0,no,no
140529,no,3562,no,no
123514,no,298,no,no
100967,no,3659,yes,no
119297,no,546,yes,no
104175,no,556,no,no
102744,no,556,yes,no
113723,no,1,no,yes
114147,no,1672,yes,no
100961,no,165,no,no
100351,no,428,yes,no
122873,no,130,yes,no
111935,no,1111,no,no
143606,no,3669,no,no
108088,yes,-757,yes,yes
103736,no,2360,no,no
133350,no,0,yes,no
101955,no,277,yes,no
106150,no,-271,yes,yes
132526,no,4582,yes,no
113189,no,137,no,no
117122,yes,-535,yes,no
130667,no,116,no,no
112477,no,2,no,no
136743,no,-440,yes,yes
136872,no,210,yes,yes
104858,no,674,yes,no
138799,no,177,yes,no
104466,no,413,yes,no
117904,no,0,yes,no
137575,no,809,yes,no
134849,no,83,yes,no
139294,no,668,yes,no
141224,no,585,no,no
106706,no,35,yes,no
124342,no,1878,yes,no
102619,no,296,yes,no
102444,no,24299,yes,no
120207,no,41,no,no
106999,no,445,yes,no
103495,no,1038,yes,yes
117025,no,-488,yes,no
126765,no,3060,yes,no
145117,no,0,no,no
107205,no,0,yes,yes
128596,no,408,no,no
106462,no,1359,yes,no
118681,no,-555,yes,no
135612,no,13,yes,no
112152,no,4134,no,no
107280,no,551,no,no
132756,no,-90,yes,no
136928,no,1598,yes,no
110946,no,17,no,no
100232,no,217,yes,no
126374,no,4711,yes,no
133381,no,775,yes,no
120361,no,4123,no,no
108725,no,1254,no,no
127649,no,5711,yes,no
111360,no,5233,no,no
106583,no,-27,yes,no
109368,no,0,no,no
101135,no,277,yes,no
128784,no,2007,yes,no
107643,no,923,yes,no
131807,no,2290,yes,no
113969,no,1013,yes,no
110516,no,3355,yes,no
114925,no,299,no,no
112236,no,6298,yes,no
126959,no,0,no,no
107000,no,172,yes,no
102336,no,1535,yes,no
139445,no,292,yes,no
106609,no,2784,yes,no
110467,no,2312,no,no
100241,no,947,yes,no
119023,no,796,no,no
137489,no,267,yes,no
133554,no,703,no,no
118168,no,-202,yes,yes
135236,no,-254,yes,no
123239,no,382,no,yes
127917,no,-35,no,yes
129213,no,575,no,no
133646,no,218,yes,no
110152,no,653,no,no
101359,no,458,yes,no
132611,no,279,yes,no
132886,no,437,yes,no
120479,no,14093,no,no
141030,no,1040,no,no
111527,no,557,no,no
127135,no,641,no,no
126275,no,625,yes,no
134779,no,221,yes,no
130822,no,347,yes,no
101025,no,-205,yes,no
107699,no,0,yes,no
110713,no,2007,no,no
139544,no,2979,no,no
137337,no,2077,yes,no
138476,no,526,yes,no
125824,no,-181,yes,no
105185,no,1176,yes,no
106260,no,-634,yes,yes
116681,no,535,yes,no
113156,no,226,no,yes
139044,no,1496,yes,no
120241,no,2764,no,no
105526,no,239,yes,no
114701,no,4143,no,no
115776,no,64,no,no
120222,no,5108,no,no
133679,no,482,yes,no
144415,no,822,no,no
107264,no,72,no,no
130066,no,167,no,yes
112309,no,904,no,no
109603,no,342,yes,no
111336,no,517,yes,no
121710,no,0,yes,no
124287,no,119,no,no
123706,no,59,no,no
108643,no,7858,yes,no
142020,no,3810,no,no
111698,no,0,no,no
106887,no,677,yes,no
121495,no,8139,yes,no
118766,no,127,yes,no
117529,no,0,no,no
121661,no,47,no,no
138706,no,14,yes,yes
128205,no,399,no,no
111031,no,258,no,no
103081,no,4543,yes,no
100413,no,96,yes,yes
123865,no,313,no,no
106327,no,619,yes,yes
132844,no,26,yes,no
142906,no,5878,no,no
109019,no,203,no,no
103373,no,106,yes,no
105048,no,8784,yes,no
133516,no,2317,yes,no
121463,no,9202,no,no
104767,no,-196,yes,no
132679,no,0,yes,no
133875,no,1247,no,no
101339,no,620,yes,no
115988,no,585,yes,no
114257,no,0,yes,no
138897,no,127,yes,no
144103,no,0,no,no
130975,no,-462,yes,no
119413,no,855,no,no
127518,no,3367,no,no
112164,no,-1049,yes,no
113103,no,4688,no,no
107674,no,3950,yes,no
142416,no,135,yes,no
144032,no,4984,no,no
110081,no,765,no,no
116478,no,99,no,yes
108920,no,191,yes,no
131020,no,477,no,no
120713,no,1325,no,no
112774,no,187,no,yes
129233,no,0,no,no
111377,no,914,no,no
134902,no,25204,yes,yes
122468,no,415,no,no
121487,no,14148,yes,no
114289,no,178,yes,no
119050,no,724,no,no
131954,no,357,yes,no
142521,no,2223,no,no
140019,no,530,yes,no
109659,no,1549,no,no
107528,no,0,yes,yes
111366,no,2729,no,no
141237,no,0,no,no
128614,no,18,no,no
127050,no,3723,no,no
105944,no,1257,yes,no
130706,no,0,no,yes
139567,no,162,no,no
125361,no,124,yes,no
138951,no,2667,yes,no
135796,no,1144,yes,no
144155,no,3,no,no
105882,no,-204,yes,yes
140637,no,0,no,no
101395,no,1832,yes,no
112269,no,2944,no,no
135013,no,91,yes,no
121043,no,525,no,no
107250,no,1541,yes,no
106716,no,-262,no,no
122749,no,0,no,no
130360,no,1628,yes,no
122793,no,394,no,no
110368,no,2952,yes,no
131423,no,1319,no,no
121603,no,10500,no,no
130476,no,33,no,no
133258,no,1334,yes,no
114630,no,-145,yes,no
140347,no,1741,yes,no
127384,no,20179,yes,yes
109579,no,653,no,no
101985,no,2,no,no
115162,no,151,yes,no
108020,no,3587,yes,no
132196,no,2384,yes,no
129395,no,613,yes,no
121714,no,52,no,no
122160,no,3250,no,no
106380,no,-28,yes,no
138426,no,-206,yes,yes
105470,no,-327,yes,yes
110873,no,0,no,no
113433,no,-151,no,no
101080,no,270,yes,no
124853,no,4324,yes,no
121244,no,8,yes,no
121545,no,0,no,no
132972,no,175,yes,no
112468,no,-418,no,yes
114709,no,854,yes,yes
106995,no,105,yes,yes
125292,no,-73,no,no
126251,no,7245,no,no
102509,no,-103,yes,no
103716,no,280,yes,no
102773,no,264,yes,no
127698,no,7482,no,no
127230,no,2944,no,no
127262,no,1514,no,yes
102879,no,37378,yes,no
127418,no,1138,yes,no
120971,no,90,no,no
105573,no,1202,yes,no
112292,no,1275,yes,no
109738,no,0,yes,no
118079,no,1014,no,no
107666,no,293,yes,no
126652,no,5205,no,no
101058,no,502,yes,no
105824,no,193,yes,no
108060,no,396,yes,no
127486,no,259,no,yes
123188,no,505,no,no
115157,no,4,yes,no
115326,no,2977,yes,no
125878,no,2818,yes,no
109015,no,1118,yes,no
113452,no,232,no,no
133151,no,235,yes,no
115532,no,0,yes,no
115671,no,242,no,yes
125954,no,866,yes,no
126949,no,212,yes,no
111722,no,682,no,no
135468,no,1234,yes,no
120424,no,914,no,no
136985,no,204,yes,yes
130931,no,474,yes,yes
109182,no,2424,no,no
108139,no,892,yes,no
101346,no,318,yes,no
131489,no,158,yes,no
123357,no,0,no,no
122278,no,0,no,no
126408,no,2098,no,no
136406,no,151,yes,no
100532,no,1680,yes,no
119491,no,6359,no,no
124035,no,0,no,no
116076,no,109,yes,no
122885,no,-266,no,yes
124573,no,2363,yes,no
135530,no,216,yes,no
136742,no,641,yes,no
132432,no,2121,no,no
113290,no,2261,yes,yes
127961,no,620,no,no
122204,no,51,yes,no
126477,no,8180,yes,no
111169,no,531,no,no
121550,no,9207,no,no
132547,no,0,yes,no
113513,no,0,yes,yes
135004,no,-679,yes,yes
135118,no,289,yes,no
115991,no,378,yes,no
106080,no,99,yes,no
117362,no,2972,no,no
130798,no,0,no,no
114012,no,2378,yes,yes
119224,no,13118,no,no
106396,no,1547,yes,yes
110542,no,-85,yes,no
137210,no,564,yes,no
119783,no,790,yes,no
104320,no,1990,yes,yes
131831,no,922,yes,no
118205,no,591,yes,no
126543,no,3455,yes,no
114097,no,397,no,no
114780,no,0,no,yes
143389,no,1,yes,no
140458,no,185,no,no
120945,no,627,no,no
120331,no,3194,no,no
127402,no,505,yes,yes
102134,no,85,yes,no
143236,no,469,no,no
124194,no,431,yes,no
108718,no,1623,yes,no
102276,no,-72,yes,no
117633,no,1103,yes,yes
137081,no,-302,yes,no
119727,no,309,no,no
143475,no,1204,no,no
113988,no,275,yes,yes
106719,no,1227,yes,yes
130466,no,1187,yes,no
107262,no,984,yes,no
121641,no,417,no,no
109833,no,1166,no,no
113520,no,702,no,yes
121359,no,5,no,no
108852,no,284,no,yes
142737,no,6718,no,no
118653,no,4359,no,no
113437,no,97,no,yes
125478,no,1185,yes,no
106889,no,1624,yes,yes
127762,no,4764,no,no
106835,no,1333,yes,yes
113925,no,4597,yes,no
110983,no,1191,no,no
139602,no,900,yes,no
137532,no,305,yes,no
131433,no,2923,no,no
122705,no,349,no,no
126235,no,2924,no,no
109997,no,0,no,no
102413,no,336,yes,no
124143,no,1828,yes,no
110402,no,4283,yes,no
128799,no,199,no,no
114592,no,0,no,yes
103128,no,998,yes,no
130930,no,291,no,no
126602,no,2478,no,yes
101608,no,365,yes,no
129338,no,272,no,no
116938,no,415,no,no
130180,no,818,yes,no
120766,no,479,no,no
127823,no,2223,no,no
130003,no,2189,no,no
119319,no,1526,no,no
106241,no,46,yes,no
128072,no,726,no,no
138449,no,4260,yes,no
113745,no,0,no,yes
123613,no,0,no,no
106338,no,-676,yes,yes
109390,no,3460,yes,no
107053,no,0,yes,no
127149,no,5171,yes,no
128639,no,840,no,no
136426,no,-331,yes,yes
118540,no,2473,yes,yes
127793,no,2121,no,no
110431,no,518,yes,no
100987,no,263,yes,no
143104,no,451,no,no
101318,no,5,yes,yes
138052,no,405,yes,no
115517,no,53,yes,no
141514,no,6199,no,no
105181,no,5853,yes,no
116885,no,347,yes,no
129852,no,148,yes,no
124202,no,352,no,no
126158,no,2578,no,no
131631,no,113,yes,yes
111460,no,2524,no,no
110620,no,721,no,no
138441,no,-179,yes,no
131901,no,2726,yes,no
103009,no,3641,yes,no
118416,no,37,yes,yes
103883,no,-26,yes,no
141975,no,1648,no,no
139006,no,285,no,no
121020,no,177,no,no
106094,no,1612,yes,no
122927,no,-816,no,no
108462,no,0,yes,no
122776,no,1235,no,no
134459,no,953,yes,yes
129587,no,483,no,no
111738,no,341,no,no
116520,no,0,no,no
141953,no,523,no,yes
139926,no,698,no,no
122450,no,573,yes,yes
107854,no,188,yes,no
141015,no,5802,no,no
130161,no,1601,no,no
122448,yes,0,no,yes
127242,no,1354,no,yes
104562,no,412,yes,yes
144979,no,812,yes,no
109584,no,0,yes,no
103774,no,1301,yes,no
123018,no,1499,no,no
136345,no,0,yes,no
107272,no,176,no,no
140871,no,3738,no,no
118231,no,1712,yes,no
117121,no,191,no,no
132883,no,9305,yes,no
133291,no,-384,yes,yes
129524,no,182,no,no
128148,no,-507,no,no
114039,no,0,no,yes
121758,no,929,no,no
131543,no,1004,yes,no
137639,no,385,yes,no
141212,no,7585,no,no
122216,no,83,yes,no
108176,no,522,yes,no
102116,no,42,yes,no
107415,no,1544,yes,no
139428,no,2955,yes,no
138878,no,0,yes,no
109528,no,-540,no,no
111508,no,38,no,yes
137404,no,499,yes,no
114031,no,925,yes,no
105007,no,4315,yes,no
127207,no,162,yes,no
102024,no,356,yes,no
121579,no,0,no,no
117506,no,147,no,no
106419,no,-353,yes,yes
121737,no,60,no,no
142790,no,1830,no,no
131126,no,2012,no,no
133359,no,147,yes,no
130308,no,438,no,no
126997,no,415,yes,no
118662,no,532,yes,no
123616,no,500,no,yes
106614,yes,-34,yes,no
111446,no,0,no,no
142932,no,62,yes,no
109347,no,311,yes,yes
134383,no,661,yes,no
123056,no,19,no,no
122179,yes,0,no,no
109883,no,2146,no,yes
108170,no,1237,yes,yes
140766,no,1176,no,no
107534,no,-276,yes,no
140846,no,172,yes,no
113248,no,-150,no,yes
130513,no,3358,yes,no
107764,no,169,yes,no
112804,no,-63,yes,no
106275,no,-417,yes,no
145101,no,0,no,no
103364,no,5618,yes,no
108106,no,516,yes,yes
142877,no,187,yes,no
116075,no,0,no,no
101266,no,111,yes,no
116816,no,1292,yes,no
102082,no,5694,yes,no
130962,no,1134,no,yes
108349,no,-295,yes,no
115430,no,383,no,yes
122623,no,3,no,no
119013,no,1057,no,no
143058,no,7554,no,no
101191,no,-33,yes,no
123342,no,765,no,no
111493,no,5874,no,no
107795,no,1597,yes,no
132326,no,624,yes,no
141984,no,10889,no,no
129926,no,438,no,no
105136,no,603,yes,yes
107754,no,239,yes,no
103253,no,2612,yes,no
109412,no,-355,yes,yes
114616,no,-353,yes,no
115410,no,2374,no,no
123957,no,2070,no,no
125781,no,688,no,no
110065,no,535,yes,no
112789,no,222,yes,yes
136787,no,194,yes,no
130052,no,7249,yes,yes
130075,no,6,no,no
140007,no,3094,no,no
114068,no,63,no,yes
103953,no,53,yes,no
100747,no,123,yes,yes
113284,no,1141,no,yes
126698,no,1354,yes,no
114757,no,-231,no,yes
102364,no,339,yes,no
127536,no,7708,yes,no
125528,no,79,no,yes
135084,no,1491,yes,no
117771,no,620,yes,yes
122783,no,581,no,no
137225,no,2157,yes,no
120929,no,4373,yes,no
123231,no,257,no,no
104794,no,5058,no,no
130839,no,1412,no,no
132990,no,625,yes,no
123321,no,-84,yes,no
136534,no,202,yes,yes
100525,no,9,yes,no
104115,no,751,yes,no
114647,no,425,no,no
140364,no,0,no,no
118295,no,37,yes,no
100265,no,86,yes,no
103823,no,975,yes,no
110139,no,16917,no,no
138777,no,625,yes,no
128181,no,350,no,no
122444,no,0,no,no
134427,no,82,no,no
140393,no,0,no,no
139196,no,40,yes,no
111400,no,54,no,no
108637,no,855,yes,no
116644,no,-290,yes,yes
109436,no,565,yes,no
116568,no,1463,yes,no
135112,no,568,yes,no
123377,no,0,no,no
105875,no,1595,yes,no
129206,no,994,no,no
142822,no,2716,no,no
103441,no,3020,yes,no
123419,no,2,no,no
127351,no,-456,no,no
114596,no,-295,no,no
133062,no,443,yes,no
104922,no,3090,yes,no
110017,no,1104,no,no
111001,no,521,yes,no
118433,no,870,no,yes
107489,no,0,yes,yes
130210,no,412,yes,no
141370,no,65,no,no
116868,no,401,yes,no
142175,no,1791,no,no
126676,no,1556,yes,no
122711,no,655,yes,no
118563,no,0,no,no
139221,no,595,yes,yes
105294,no,2645,yes,no
135433,no,428,yes,yes
111492,no,0,yes,no
129059,no,148,no,no
122993,no,4300,yes,yes
110306,no,825,yes,no
112600,no,-28,no,yes
123659,no,632,yes,no
125275,no,0,yes,no
118700,yes,-251,no,yes
106860,no,1566,no,no
117468,no,337,no,no
143957,no,134,no,yes
112342,no,2657,yes,no
128598,no,2213,no,no
144317,no,649,no,no
132661,no,3508,yes,no
100737,yes,-183,yes,no
142919,no,0,no,no
109373,no,1623,yes,no
105060,no,141,yes,no
118059,no,917,yes,no
133236,no,1122,yes,no
145115,no,1830,no,no
131529,no,647,no,no
107453,no,2457,yes,no
102201,no,75,yes,yes
109106,no,-640,yes,yes
130376,no,3529,no,no
143590,no,649,no,no
102182,no,16,yes,no
110717,yes,-813,yes,yes
140265,no,657,no,no
104021,no,567,yes,no
105151,no,754,yes,no
133287,no,365,yes,yes
114347,no,132,no,no
110971,no,4322,no,no
135335,no,134,yes,no
127327,yes,32,yes,no
117688,no,1772,no,no
123422,no,330,no,no
121292,no,-393,no,no
137123,no,0,yes,no
139129,no,656,yes,no
104075,no,1113,yes,no
109067,no,182,no,yes
141092,no,0,no,no
101643,no,749,no,no
108465,no,648,yes,no
102680,no,126,yes,no
110177,no,0,no,no
104104,no,2055,yes,no
138622,no,72,yes,no
117877,no,559,no,no
134889,no,864,yes,no
125744,no,8106,no,no
126046,no,67,no,yes
136933,no,292,yes,no
115251,no,1396,yes,no
113119,yes,-395,yes,no
110060,no,-521,no,yes
123000,no,778,yes,no
126529,no,54,no,no
128927,no,370,no,no
126706,no,3102,yes,no
138516,no,-227,yes,no
124748,no,815,no,no
129570,no,1235,no,no
106960,no,1636,yes,no
119702,no,1583,yes,no
141147,no,1433,no,no
117488,no,1468,yes,no
144095,no,363,no,no
124219,no,1866,no,no
127705,no,1407,yes,no
116064,no,27,no,yes
117898,no,215,yes,no
123317,no,1647,no,no
114773,no,4389,yes,no
130936,no,347,yes,no
106730,no,2451,yes,no
138649,no,25,yes,no
118742,no,514,yes,no
114442,no,1622,yes,yes
140592,no,1958,no,no
111509,no,477,no,no
103187,no,645,yes,yes
115396,no,598,yes,no
118890,no,306,no,no
127796,no,0,yes,no
137046,no,28,yes,yes
131819,no,2068,no,no
104930,no,17,yes,no
121668,no,83,no,no
112531,no,230,no,yes
125560,no,4515,yes,no
126801,no,8422,yes,no
130378,no,3,no,no
142206,no,9317,no,no
144040,no,1630,yes,no
128371,no,1513,no,no
126424,no,3999,no,no
121719,no,248,no,no
108427,no,3404,yes,no
124604,no,0,yes,no
116419,no,33,no,yes
110689,no,30,no,no
119596,no,3690,no,no
134217,no,4389,yes,no
105432,no,390,yes,no
114578,no,223,yes,no
141768,no,2081,no,no
128346,no,1724,no,no
134390,no,296,yes,no
106695,no,1973,yes,no
132516,no,3350,yes,no
127357,no,13489,no,no
112567,no,6,no,yes
140131,no,1076,yes,no
116719,no,2661,yes,no
111700,no,250,no,no
136090,no,1569,yes,no
118368,no,311,no,no
100263,no,176,yes,no
106988,no,-233,yes,no
117215,no,230,no,no
129225,no,1327,yes,no
105870,no,682,yes,yes
100705,no,50,yes,yes
138172,no,137,yes,no
134862,no,59,yes,no
126911,no,778,yes,no
128713,no,-53,no,no
142075,no,353,no,no
104587,no,-291,yes,no
140331,no,601,no,no
123985,no,13,no,no
118354,no,0,yes,no
136723,no,90,yes,no
137832,no,43,yes,no
134881,no,1019,yes,no
134372,no,41,yes,no
144385,no,-69,no,no
125262,no,-298,yes,no
103357,no,276,yes,yes
119085,no,3069,no,no
102436,no,-541,yes,yes
120789,no,745,no,no
130235,no,1042,yes,no
120726,no,286,no,no
112143,no,277,no,no
132998,no,3986,yes,no
129316,no,5261,no,no
143271,no,211,no,no
137378,no,450,yes,no
128785,no,-35,no,no
126651,no,726,yes,no
126738,no,1515,yes,no
119861,no,208,no,no
130853,no,691,no,no
112461,no,1160,yes,no
109732,no,414,yes,yes
101957,no,-135,yes,no
110845,no,0,no,no
107911,no,2719,yes,no
106581,no,-254,yes,yes
104889,no,363,no,no
124319,no,582,no,no
116776,no,26,no,yes
115875,no,2123,yes,no
104655,no,126,yes,no
118489,no,884,yes,yes
104590,no,2036,yes,yes
102511,no,705,yes,no
102062,no,1160,yes,no
108227,no,-21,no,no
107068,no,-1350,yes,yes
134516,yes,-947,yes,no
141419,no,2820,no,no
101342,no,5903,yes,no
137725,no,2048,no,yes
115862,no,2704,yes,no
141702,no,805,no,no
101886,no,-9,yes,no
138292,no,2139,yes,no
124766,no,8,no,yes
